2019-02-26 21:58:00,704 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 21:59:11,238 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:00:21,717 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:00:30,333 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:00:56,122 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:01:11,093 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:01:43,013 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:02:45,020 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:02:57,725 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:04:18,352 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:05:14,381 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:05:27,738 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:08:22,208 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:09:21,655 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:11:24,340 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
2019-02-26 22:11:46,283 alp_main.py[line:86] INFO Namespace(alpha=0.1, batch_size=128, device=':/gpu:0', early_stop=False, embedding1=None, embedding2=None, epochs=21, gpu_id='0', graph1='data/test.src.net', graph2='data/test.obj.net', graph_format='adjlist', graph_size1=None, graph_size2=None, hidden_size=32, identity_linkage='data/test.align', input_size=256, is_valid=False, layers=2, log_file='ALP', lr=0.01, method='mna', neg_ratio=5, output='test.res', saving_step=1, test_anchors=None, threshold=0.1, tol=0.1, type_model='mlp')
